"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",1505106,"0,594","0,594","0,612","0,678"
2010,"MUNICIPIO",1505205,"0,507","0,507","0,612","0,678"
2010,"MUNICIPIO",1505304,"0,623","0,623","0,612","0,678"
2010,"MUNICIPIO",1505403,"0,568","0,568","0,612","0,678"
2010,"MUNICIPIO",1505437,"0,624","0,624","0,612","0,678"
2010,"MUNICIPIO",1505486,"0,515","0,515","0,612","0,678"
2010,"MUNICIPIO",1505494,"0,589","0,589","0,612","0,678"
2010,"MUNICIPIO",1505502,"0,645","0,645","0,612","0,678"
2010,"MUNICIPIO",1505536,"0,715","0,715","0,612","0,678"
2010,"MUNICIPIO",1505551,"0,574","0,574","0,612","0,678"
2010,"MUNICIPIO",1505551,"0,661","0,661","0,612","0,678"
2010,"MUNICIPIO",1505601,"0,581","0,581","0,612","0,678"
2010,"MUNICIPIO",1505635,"0,563","0,563","0,612","0,678"
2010,"MUNICIPIO",1505650,"0,552","0,552","0,612","0,678"
2010,"MUNICIPIO",1505700,"0,562","0,562","0,612","0,678"
2010,"MUNICIPIO",1505809,"0,483","0,483","0,612","0,678"
2010,"MUNICIPIO",1505908,"0,503","0,503","0,612","0,678"
2010,"MUNICIPIO",1506005,"0,523","0,523","0,612","0,678"
2010,"MUNICIPIO",1506104,"0,577","0,577","0,612","0,678"
2010,"MUNICIPIO",1506104,"0,58","0,58","0,612","0,678"
2010,"MUNICIPIO",1506112,"0,543","0,543","0,612","0,678"
2010,"MUNICIPIO",1506138,"0,626","0,626","0,612","0,678"
2010,"MUNICIPIO",1506138,"0,672","0,672","0,612","0,678"
2010,"MUNICIPIO",1506161,"0,638","0,638","0,612","0,678"
2010,"MUNICIPIO",1506187,"0,602","0,602","0,612","0,678"
2010,"MUNICIPIO",1506195,"0,548","0,548","0,612","0,678"
2010,"MUNICIPIO",1506203,"0,647","0,647","0,612","0,678"
2010,"MUNICIPIO",1506302,"0,608","0,608","0,612","0,678"
2010,"MUNICIPIO",1506351,"0,627","0,627","0,612","0,678"
2010,"MUNICIPIO",1506401,"0,557","0,557","0,612","0,678"
2010,"MUNICIPIO",1506500,"0,659","0,659","0,612","0,678"
2010,"MUNICIPIO",1506559,"0,546","0,546","0,612","0,678"
2010,"MUNICIPIO",1506583,"0,544","0,544","0,612","0,678"
2010,"MUNICIPIO",1506609,"0,598","0,598","0,612","0,678"
2010,"MUNICIPIO",1506708,"0,602","0,602","0,612","0,678"
2010,"MUNICIPIO",1506807,"0,691","0,691","0,612","0,678"
2010,"MUNICIPIO",1506807,"0,622","0,622","0,612","0,678"
2010,"MUNICIPIO",1506906,"0,587","0,587","0,612","0,678"
2010,"MUNICIPIO",1507003,"0,632","0,632","0,612","0,678"
2010,"MUNICIPIO",1507102,"0,585","0,585","0,612","0,678"
2010,"MUNICIPIO",1507151,"0,594","0,594","0,612","0,678"
2010,"MUNICIPIO",1507201,"0,532","0,532","0,612","0,678"
2010,"MUNICIPIO",1507300,"0,594","0,594","0,612","0,678"
2010,"MUNICIPIO",1507409,"0,608","0,608","0,612","0,678"
2010,"MUNICIPIO",1507458,"0,595","0,595","0,612","0,678"
2010,"MUNICIPIO",1507466,"0,583","0,583","0,612","0,678"
2010,"MUNICIPIO",1507474,"0,539","0,539","0,612","0,678"
2010,"MUNICIPIO",1507508,"0,55","0,55","0,612","0,678"
2010,"MUNICIPIO",1507607,"0,591","0,591","0,612","0,678"
2010,"MUNICIPIO",1507706,"0,558","0,558","0,612","0,678"
2010,"MUNICIPIO",1507755,"0,59","0,59","0,612","0,678"
2010,"MUNICIPIO",1507755,"0,675","0,675","0,612","0,678"
2010,"MUNICIPIO",1507805,"0,514","0,514","0,612","0,678"
2010,"MUNICIPIO",1507904,"0,615","0,615","0,612","0,678"
2010,"MUNICIPIO",1507953,"0,588","0,588","0,612","0,678"
2010,"MUNICIPIO",1507961,"0,605","0,605","0,612","0,678"
2010,"MUNICIPIO",1507979,"0,635","0,635","0,612","0,678"
2010,"MUNICIPIO",1508001,"0,586","0,586","0,612","0,678"
2010,"MUNICIPIO",1508035,"0,531","0,531","0,612","0,678"
2010,"MUNICIPIO",1508050,"0,562","0,562","0,612","0,678"
2010,"MUNICIPIO",1508084,"0,659","0,659","0,612","0,678"
2010,"MUNICIPIO",1508100,"0,666","0,666","0,612","0,678"
2010,"MUNICIPIO",1508126,"0,604","0,604","0,612","0,678"
2010,"MUNICIPIO",1508159,"0,589","0,589","0,612","0,678"
2010,"MUNICIPIO",1508209,"0,617","0,617","0,612","0,678"
2010,"MUNICIPIO",1508308,"0,515","0,515","0,612","0,678"
2010,"MUNICIPIO",1508357,"0,596","0,596","0,612","0,678"
2010,"MUNICIPIO",1508407,"0,646","0,646","0,612","0,678"
